Time(s),CH1V
4.825000e-01,-8.310605e-01
4.850000e-01,-9.622617e-01
4.875000e-01,-1.005397e+00
4.900000e-01,-9.375045e-01
4.925000e-01,-7.879646e-01
4.950000e-01,-5.566582e-01
4.975000e-01,-2.869602e-01
5.000000e-01,2.407946e-02
5.025000e-01,3.334846e-01
5.050000e-01,6.048570e-01
5.075000e-01,8.241636e-01
5.100000e-01,9.549262e-01
5.125000e-01,9.977031e-01
5.150000e-01,9.399363e-01
5.175000e-01,7.888815e-01
5.200000e-01,5.594489e-01
5.225000e-01,2.803025e-01
5.250000e-01,-3.105613e-02
5.275000e-01,-3.460028e-01
5.300000e-01,-6.172157e-01
5.325000e-01,-8.222101e-01
5.350000e-01,-9.624610e-01
5.375000e-01,-1.002886e+00
5.400000e-01,-9.472718e-01
5.425000e-01,-7.968150e-01
5.450000e-01,-5.635153e-01
5.475000e-01,-2.782294e-01
5.500000e-01,2.364093e-02
5.525000e-01,3.398633e-01
5.550000e-01,6.048969e-01
5.575000e-01,8.248014e-01
5.600000e-01,9.621819e-01
5.625000e-01,9.935171e-01
5.650000e-01,9.349928e-01
5.675000e-01,7.830212e-01
5.700000e-01,5.639538e-01
5.725000e-01,2.797444e-01
5.750000e-01,-3.029866e-02
5.775000e-01,-3.420161e-01
5.800000e-01,-6.098802e-01
5.825000e-01,-8.236453e-01
5.850000e-01,-9.630989e-01
5.875000e-01,-1.003603e+00
5.900000e-01,-9.402553e-01
5.925000e-01,-7.866889e-01
5.950000e-01,-5.675418e-01
5.975000e-01,-2.888739e-01
6.000000e-01,2.750800e-02
6.025000e-01,3.359564e-01
6.050000e-01,6.047374e-01
6.075000e-01,8.220506e-01
6.100000e-01,9.602284e-01
6.125000e-01,9.936367e-01
6.150000e-01,9.349928e-01
6.175000e-01,7.849746e-01
6.200000e-01,5.625585e-01
6.225000e-01,2.824553e-01
6.250000e-01,-3.312920e-02
6.275000e-01,-3.362354e-01
6.300000e-01,-6.151028e-01
6.325000e-01,-8.319774e-01
6.350000e-01,-9.654111e-01
6.375000e-01,-1.003085e+00
6.400000e-01,-9.371457e-01
6.425000e-01,-7.882835e-01
6.450000e-01,-5.636747e-01
6.475000e-01,-2.873988e-01
6.500000e-01,2.523560e-02
6.525000e-01,3.414978e-01
6.550000e-01,6.134682e-01
6.575000e-01,8.181437e-01
6.600000e-01,9.577567e-01
6.625000e-01,9.924407e-01
6.650000e-01,9.412918e-01
6.675000e-01,7.838584e-01
6.700000e-01,5.621200e-01
6.725000e-01,2.741630e-01
6.750000e-01,-2.714920e-02
6.775000e-01,-3.426540e-01
6.800000e-01,-6.120330e-01
6.825000e-01,-8.291070e-01
6.850000e-01,-9.554445e-01
6.875000e-01,-1.004042e+00
6.900000e-01,-9.448399e-01
6.925000e-01,-7.889613e-01
6.950000e-01,-5.678209e-01
6.975000e-01,-2.784288e-01
7.000000e-01,2.814586e-02
7.025000e-01,3.393052e-01
7.050000e-01,6.128702e-01
7.075000e-01,8.278313e-01
7.100000e-01,9.504611e-01
7.125000e-01,9.945935e-01
7.150000e-01,9.413317e-01
7.175000e-01,7.889214e-01
7.200000e-01,5.559805e-01
7.225000e-01,2.828540e-01
7.250000e-01,-3.360760e-02
7.275000e-01,-3.422154e-01
7.300000e-01,-6.178934e-01
7.325000e-01,-8.324558e-01
7.350000e-01,-9.651321e-01
7.375000e-01,-9.991383e-01
7.400000e-01,-9.471123e-01
7.425000e-01,-7.874064e-01
7.450000e-01,-5.605652e-01
7.475000e-01,-2.755584e-01
7.500000e-01,3.145480e-02
7.525000e-01,3.379497e-01
7.550000e-01,6.099600e-01
7.575000e-01,8.268745e-01
7.600000e-01,9.520159e-01
7.625000e-01,1.000215e+00
7.650000e-01,9.324414e-01
7.675000e-01,7.855726e-01
7.700000e-01,5.640734e-01
7.725000e-01,2.796646e-01
7.750000e-01,-2.667080e-02
7.775000e-01,-3.415377e-01
7.800000e-01,-6.162190e-01
7.825000e-01,-8.322166e-01
7.850000e-01,-9.569992e-01
7.875000e-01,-1.004441e+00
7.900000e-01,-9.489462e-01
7.925000e-01,-7.920310e-01
7.950000e-01,-5.700534e-01
7.975000e-01,-2.860433e-01
8.000000e-01,2.499640e-02
8.025000e-01,3.287405e-01
8.050000e-01,6.103985e-01
8.075000e-01,8.254791e-01
8.100000e-01,9.532518e-01
8.125000e-01,1.003125e+00
8.150000e-01,9.383018e-01
8.175000e-01,7.846158e-01
8.200000e-01,5.579339e-01
8.225000e-01,2.821763e-01
8.250000e-01,-3.532187e-02
8.275000e-01,-3.423350e-01
8.300000e-01,-6.176542e-01
8.325000e-01,-8.306220e-01
8.350000e-01,-9.603879e-01
8.375000e-01,-9.937165e-01
8.400000e-01,-9.477103e-01
8.425000e-01,-7.941439e-01
8.450000e-01,-5.673026e-01
8.475000e-01,-2.783092e-01
8.500000e-01,3.348800e-02
8.525000e-01,3.336441e-01
8.550000e-01,6.044185e-01
8.575000e-01,8.266352e-01
8.600000e-01,9.616238e-01
8.625000e-01,9.972646e-01
8.650000e-01,9.438034e-01
8.675000e-01,7.862504e-01
8.700000e-01,5.631964e-01
8.725000e-01,2.759570e-01
8.750000e-01,-3.069733e-02
8.775000e-01,-3.443682e-01
8.800000e-01,-6.170961e-01
8.825000e-01,-8.207350e-01
8.850000e-01,-9.642949e-01
8.875000e-01,-1.002447e+00
8.900000e-01,-9.360693e-01
8.925000e-01,-7.886822e-01
8.950000e-01,-5.679006e-01
8.975000e-01,-2.759969e-01
9.000000e-01,2.308280e-02
9.025000e-01,3.302554e-01
9.050000e-01,6.121128e-01
9.075000e-01,8.169078e-01
9.100000e-01,9.533714e-01
9.125000e-01,9.980619e-01
9.150000e-01,9.316441e-01
9.175000e-01,7.831407e-01
9.200000e-01,5.553825e-01
9.225000e-01,2.840500e-01
9.250000e-01,-3.105613e-02
9.275000e-01,-3.452453e-01
9.300000e-01,-6.174549e-01
9.325000e-01,-8.291070e-01
9.350000e-01,-9.570790e-01
9.375000e-01,-1.002886e+00
9.400000e-01,-9.374247e-01
9.425000e-01,-7.968150e-01
9.450000e-01,-5.693358e-01
9.475000e-01,-2.775916e-01
9.500000e-01,2.395986e-02
9.525000e-01,3.385078e-01
9.550000e-01,6.139067e-01
9.575000e-01,8.175457e-01
9.600000e-01,9.603481e-01
9.625000e-01,9.920421e-01
9.650000e-01,9.339164e-01
9.675000e-01,7.806690e-01
9.700000e-01,5.549440e-01
9.725000e-01,2.718906e-01
9.750000e-01,-2.523560e-02
9.775000e-01,-3.353584e-01
9.800000e-01,-6.179333e-01
9.825000e-01,-8.280306e-01
9.850000e-01,-9.575574e-01
9.875000e-01,-1.001171e+00
9.900000e-01,-9.381025e-01
9.925000e-01,-7.961373e-01
