Time(s),CH1V
0.000000e+00,2.986664e-02
2.500000e-03,3.343996e-01
5.000000e-03,6.095105e-01
7.500000e-03,8.159992e-01
1.000000e-02,9.565768e-01
1.250000e-02,9.948434e-01
1.500000e-02,9.225768e-01
1.750000e-02,7.868436e-01
2.000000e-02,5.619105e-01
2.250000e-02,2.713775e-01
2.500000e-02,-2.862219e-02
2.750000e-02,-3.479996e-01
3.000000e-02,-6.128882e-01
3.250000e-02,-8.348436e-01
3.500000e-02,-9.681768e-01
3.750000e-02,-9.919545e-01
4.000000e-02,-9.364434e-01
4.250000e-02,-7.861770e-01
4.500000e-02,-5.544883e-01
4.750000e-02,-2.845775e-01
5.000000e-02,2.471109e-02
5.250000e-02,3.419552e-01
5.500000e-02,6.044438e-01
5.750000e-02,8.338214e-01
6.000000e-02,9.535990e-01
6.250000e-02,9.857323e-01
6.500000e-02,9.264435e-01
6.750000e-02,7.884436e-01
7.000000e-02,5.608438e-01
7.250000e-02,2.807997e-01
7.500000e-02,-4.328884e-02
7.750000e-02,-3.368885e-01
8.000000e-02,-6.111104e-01
8.250000e-02,-8.333769e-01
8.500000e-02,-9.634212e-01
8.750000e-02,-1.003866e+00
9.000000e-02,-9.364434e-01
9.250000e-02,-7.835992e-01
9.500000e-02,-5.660883e-01
9.750000e-02,-2.734664e-01
1.000000e-01,3.564441e-02
1.025000e-01,3.419552e-01
1.050000e-01,6.076438e-01
1.075000e-01,8.177769e-01
1.100000e-01,9.595546e-01
1.125000e-01,1.001066e+00
1.150000e-01,9.303990e-01
1.175000e-01,7.896436e-01
1.200000e-01,5.576438e-01
1.225000e-01,2.769330e-01
1.250000e-01,-3.079997e-02
1.275000e-01,-3.347107e-01
1.300000e-01,-6.210216e-01
1.325000e-01,-8.246214e-01
1.350000e-01,-9.525324e-01
1.375000e-01,-9.933767e-01
1.400000e-01,-9.367546e-01
1.425000e-01,-7.889325e-01
1.450000e-01,-5.589772e-01
1.475000e-01,-2.766219e-01
1.500000e-01,4.106662e-02
1.525000e-01,3.236885e-01
1.550000e-01,6.187105e-01
1.575000e-01,8.290658e-01
1.600000e-01,9.490212e-01
1.625000e-01,9.930656e-01
1.650000e-01,9.295990e-01
1.675000e-01,7.777325e-01
1.700000e-01,5.583550e-01
1.725000e-01,2.667997e-01
1.750000e-01,-2.871108e-02
1.775000e-01,-3.447552e-01
1.800000e-01,-6.017771e-01
1.825000e-01,-8.206658e-01
1.850000e-01,-9.539101e-01
1.875000e-01,-1.007821e+00
1.900000e-01,-9.445768e-01
1.925000e-01,-7.881325e-01
1.950000e-01,-5.652883e-01
1.975000e-01,-2.860442e-01
2.000000e-01,3.977774e-02
2.025000e-01,3.300441e-01
2.050000e-01,6.091993e-01
2.075000e-01,8.201769e-01
2.100000e-01,9.502212e-01
2.125000e-01,1.000177e+00
2.150000e-01,9.295990e-01
2.175000e-01,7.854658e-01
2.200000e-01,5.473328e-01
2.225000e-01,2.792886e-01
2.250000e-01,-2.902219e-02
2.275000e-01,-3.471996e-01
2.300000e-01,-6.097327e-01
2.325000e-01,-8.357325e-01
2.350000e-01,-9.578657e-01
2.375000e-01,-9.959545e-01
2.400000e-01,-9.467546e-01
2.425000e-01,-7.851992e-01
2.450000e-01,-5.526217e-01
2.475000e-01,-2.901330e-01
2.500000e-01,2.315553e-02
2.525000e-01,3.403552e-01
2.550000e-01,6.155549e-01
2.575000e-01,8.280880e-01
2.600000e-01,9.468434e-01
2.625000e-01,9.942212e-01
2.650000e-01,9.345768e-01
2.675000e-01,7.845770e-01
2.700000e-01,5.505328e-01
2.725000e-01,2.745330e-01
2.750000e-01,-4.586662e-02
2.775000e-01,-3.470218e-01
2.800000e-01,-6.108882e-01
2.825000e-01,-8.364435e-01
2.850000e-01,-9.689767e-01
2.875000e-01,-9.942656e-01
2.900000e-01,-9.352435e-01
2.925000e-01,-7.992436e-01
2.950000e-01,-5.573772e-01
2.975000e-01,-2.734664e-01
3.000000e-01,4.057774e-02
3.025000e-01,3.276885e-01
3.050000e-01,6.044438e-01
3.075000e-01,8.146214e-01
3.100000e-01,9.518212e-01
3.125000e-01,9.875101e-01
3.150000e-01,9.287102e-01
3.175000e-01,7.892436e-01
3.200000e-01,5.527105e-01
3.225000e-01,2.759108e-01
3.250000e-01,-3.555552e-02
3.275000e-01,-3.424441e-01
3.300000e-01,-6.144882e-01
3.325000e-01,-8.388880e-01
3.350000e-01,-9.650212e-01
3.375000e-01,-9.919545e-01
3.400000e-01,-9.483545e-01
3.425000e-01,-7.826214e-01
3.450000e-01,-5.543105e-01
3.475000e-01,-2.821775e-01
3.500000e-01,4.057774e-02
3.525000e-01,3.335108e-01
3.550000e-01,6.185327e-01
3.575000e-01,8.201769e-01
3.600000e-01,9.484435e-01
3.625000e-01,1.000977e+00
3.650000e-01,9.299101e-01
3.675000e-01,7.851547e-01
3.700000e-01,5.539106e-01
3.725000e-01,2.702664e-01
3.750000e-01,-2.879997e-02
3.775000e-01,-3.406663e-01
3.800000e-01,-6.223993e-01
3.825000e-01,-8.345324e-01
3.850000e-01,-9.693767e-01
3.875000e-01,-9.955545e-01
3.900000e-01,-9.349768e-01
3.925000e-01,-7.943991e-01
3.950000e-01,-5.615550e-01
3.975000e-01,-2.756442e-01
4.000000e-01,2.471109e-02
4.025000e-01,3.413774e-01
4.050000e-01,6.161327e-01
4.075000e-01,8.336436e-01
4.100000e-01,9.529768e-01
4.125000e-01,9.898656e-01
4.150000e-01,9.414657e-01
4.175000e-01,7.790214e-01
4.200000e-01,5.620438e-01
4.225000e-01,2.769330e-01
4.250000e-01,-4.186662e-02
4.275000e-01,-3.408885e-01
4.300000e-01,-6.065327e-01
4.325000e-01,-8.280880e-01
4.350000e-01,-9.689767e-01
4.375000e-01,-9.967101e-01
4.400000e-01,-9.400434e-01
4.425000e-01,-7.931992e-01
4.450000e-01,-5.615550e-01
4.475000e-01,-2.783108e-01
4.500000e-01,2.413331e-02
4.525000e-01,3.445330e-01
4.550000e-01,6.062216e-01
4.575000e-01,8.284880e-01
4.600000e-01,9.488434e-01
4.625000e-01,9.891990e-01
4.650000e-01,9.322657e-01
4.675000e-01,7.903103e-01
4.700000e-01,5.535105e-01
4.725000e-01,2.674219e-01
4.750000e-01,-2.759997e-02
4.775000e-01,-3.392885e-01
4.800000e-01,-6.162660e-01
4.825000e-01,-8.267992e-01
4.850000e-01,-9.625323e-01
4.875000e-01,-9.883990e-01
4.900000e-01,-9.384435e-01
4.925000e-01,-8.009325e-01
4.950000e-01,-5.707549e-01
4.975000e-01,-2.825775e-01
5.000000e-01,2.799997e-02
5.025000e-01,3.308441e-01
5.050000e-01,6.058216e-01
5.075000e-01,8.221325e-01
5.100000e-01,9.532879e-01
5.125000e-01,9.912434e-01
5.150000e-01,9.268435e-01
5.175000e-01,7.812881e-01
5.200000e-01,5.531105e-01
5.225000e-01,2.697775e-01
5.250000e-01,-3.791107e-02
5.275000e-01,-3.383107e-01
5.300000e-01,-6.141771e-01
5.325000e-01,-8.373324e-01
5.350000e-01,-9.547990e-01
5.375000e-01,-9.944434e-01
